title,risk_factor,abstract,cord_uid
A systematic review and meta-analysis of cancer patients affected by a novel coronavirus,cancer,"BACKGROUND: Cancer patients with COVID-19 disease have been reported to have double the case fatality rate of the general population. MATERIALS AND METHODS: A systematic search of PubMed/MEDLINE, Embase, Cochrane Central, Google Scholar, and MedRxiv was done for studies on cancer patients with COVID-19. Pooled proportions were calculated for categorical variables. Odds ratio and forest plots were constructed for both primary and secondary outcomes. The random-effects model was used to account for heterogeneity between studies. RESULTS: This systematic review of 31 studies and meta-analysis of 181,323 patients from 26 studies involving 23,736 cancer patients is the largest meta-analysis to the best of our knowledge assessing outcomes in cancer patients affected by COVID-19. Our meta-analysis shows that cancer patients with COVID-19 have a higher likelihood of death (odds ratio, OR 2.54), which was largely driven by mortality among patients in China. Cancer patients were more likely to be intubated, although ICU admission rates were not statistically significant. Among cancer subtypes, the mortality was highest in hematological malignancies (OR 2.43) followed by lung cancer (OR 1.8). There was no association between receipt of a particular type of oncologic therapy and mortality. Our study showed that cancer patients affected by COVID-19 are a decade older than the normal population and have a higher proportion of co-morbidities. There was insufficient data to assess the association of COVID-directed therapy and survival outcomes in cancer patients. Despite the heterogeneity of studies and inconsistencies in reported variables and outcomes, these data could guide clinical practice and oncologic care during this unprecedented global health pandemic. CONCLUSION: Cancer patients with COVID-19 disease are at increased risk of mortality and morbidity. A more nuanced understanding of the interaction between cancer-directed therapies and COVID-19-directed therapies is needed. This will require uniform prospective recording of data, possibly in multi-institutional registry databases.",4gjzbroq
An inverse stage-shift model to estimate the excess mortality and health economic impact of delayed access to cancer services due to the COVID-19 pandemic,cancer,"Background: Decreased cancer incidence and reported changes to clinical management indicate that the COVID-19 pandemic will result in diagnostic and treatment delays for cancer patients. We aimed to develop a flexible model to estimate the impact of delayed diagnosis and treatment initiation on survival outcomes and healthcare costs based on a shift in the disease stage at treatment initiation. Methods: The stage-shift model estimates population-level health economic outcomes by weighting disease stage-specific outcomes by the distribution of stages at treatment initiation, assuming delays lead to stage-progression. It allows for extrapolation of population-level survival data using parametric distributions to calculate the expected survival in life years. The model was demonstrated based on an analysis of the impact of 3 and 6-month delays for stage I breast cancer, colorectal cancer and lung cancer patients, and for T1 melanoma, based on Australian data. In the absence of patient-level data about time to stage progression, two approaches were explored to estimate the proportion of patients that would experience a stage shift following the delay: 1) based on the relation between time to treatment initiation and overall survival (breast, colorectal and lung cancer), and 2) based on the tumour growth rate (melanoma). The model is available on http://stage-shift.personex.nl/. Results: A shift from stage I to stage II due to a 6-month delay is least likely for colorectal cancer patients, with an estimated proportion of 3% of the stage I patients diagnosed in 2020 progressing to stage II, resulting in 11 excess deaths after 5 years and a total of 96 life years lost over a 10-year time horizon. For breast and lung cancer, progression from stage I to stage II due to a 6-month delay were slightly higher at 5% (breast cancer) and 8% (lung cancer), resulting in 25 and 43 excess deaths after 5 years, and 239 and 373 life years lost over a 10-year time horizon, respectively. For melanoma, with 32% of T1 patients progressing to T2 disease following a 6-month delay, the model estimated 270 excess death after 5 years and 2584 life years lost over a 10-year time horizon. Conclusions: Using a conservative 3-month delay in diagnosis and treatment initiation due to the COVID-19 pandemic, this study predicts nearly 90 excess deaths and $12 million excess healthcare costs in Australia over 5 years for the in 2020 diagnosed patients for 4 cancers. If the delays increase to 6 months, excess mortality and cost approach nearly 350 deaths and $46 million in Australia. More accurate data on stage of disease during and after the COVID-19 pandemic are critical to obtain more reliable estimates.",563ci03k
Association of Cancer with Risk and Mortality of COVID-19: Results from the UK Biobank,cancer,"Although cancer has been associated with COVID-19 risk and mortality in hospital-based studies, few population-based studies have been reported. Utilizing data from the UK Biobank (UKB), a population-based prospective cohort, we formally tested the association of over 44 different types of cancer with COVID-19 infection and mortality among 7,661 subjects who were tested by June 17, 2020. Compared to non-cancer subjects, cancer subjects (N=1,521) had significantly lower overall risk for COVID-19 infection [odds ratio (OR) and 95% confidence interval (CI): 0.79 (0.68-0.92), P=2.60E-03]. However, a trend of higher risk for COVID-19 mortality was found among 256 COVID-19 positive cancer patients, especially for hematologic cancers such as non-Hodgkin lymphoma [3.82 (1.17-12.01), P=0.02]. In cancer patients, while few demographic, lifestyle, genetic and comorbidity factors predicted risk for COVID-19 infection, older age, male sex, heart disease and hypertension significantly predicted COVID-19 mortality. The lower risk for COVID-19 infection is likely due to extra caution in COVID-19 prevention and more testing among cancer patients, an encouraging finding that demonstrates the feasibility of intervention. These results, if confirmed in future releases of UKB data and other independent populations, may provide guidance for COVID-19 prevention and treatment among cancer patients.",c2v0dsxs
Cancer and risk of COVID-19 through a general community survey,cancer,"Background: Data are limited on the risk of coronavirus disease 2019 (COVID-19) among individuals with cancer and whether cancer-related therapy exacerbates this risk. Methods: We evaluated the risk for coronavirus disease 2019 (COVID-19) among patients living with cancer compared to the general community and whether cancer-related treatments influence this risk. Data were collected from the COVID Symptom Study smartphone application since March 24, 2020 (United Kingdom), March 29 (U.S.), and April 29, 2020 (Sweden) through May 8, 2020. We used multivariate-adjusted odds ratios (aORs) of a positive COVID-19 test as well as predicted COVID-19 infection using a validated symptom model. Results: Among 23,266 participants with cancer and 1,784,293 without cancer, we documented 10,404 reports of a positive COVID-19 test. Compared to participants without cancer, those living with cancer had 62% increased risk of a positive COVID-19 test (95% CI: 1.37-1.91). Among patients with cancer, current treatment with chemotherapy/immunotherapy was associated with a nearly 2.5-fold increased risk of a positive test (aOR: 2.42; 95% CI: 1.81-3.25). The association between cancer and COVID-19+ was stronger among participants >65 years (aOR: 1.93; 95%CI: 1.51-2.46) compared to younger participants (aOR: 1.32; 95%CI: 1.06-1.64; Pinteraction<0.001); and among males (aOR: 1.71; 95%CI: 1.36-2.15) compared to females (aOR: 1.43; 95%CI: 1.14-1.79; Pinteraction=0.02). Conclusions: Individuals with cancer had a significantly increased risk of infection compared to the general community. Those treated with chemotherapy or immunotherapy were particularly at-risk of infection. Trial Registration: ClinicalTrials.gov NCT04331509",2ig961lu
"Cancer diagnostic rates during the 2020 'lockdown', due to COVID-19 pandemic, compared with the 2018-2019: an audit study from cellular pathology.",cancer,AIMS We performed an audit to evaluate the impact of the COVID-19 pandemic-related delay in the diagnosis of major cancers at a Pathology Unit of a Secondary Care Hospital Network in Italy. METHODS A comparison was made among the number of first cellular pathological diagnoses of malignancy made from the 11th to the 20th week of the years 2018-2020. RESULTS Cancer diagnoses fell in 2020 by 39% compared with the average number recorded in 2018 and 2019. Prostate cancer (75%) bladder cancer (66%) and colorectal cancer (CRC; 62%) had the greatest decrease. CRC was identified as carrying a potentially important diagnostic delay. CONCLUSIONS For CRC corrective procedures (continuing mass screening tests; patient triage by family physicians; diagnostic procedures alternative to colonoscopy; predictive evaluation on biopsy samples) were advised. Our simple audit model is widely applicable to avoid pandemic-related delay in clinical diagnosis of cancer.,vca4gwo0
"Clinical characteristics and risk factors associated with COVID-19 disease severity in patients with cancer in Wuhan, China: a multicentre, retrospective, cohort study",cancer,"BACKGROUND: COVID-19 has spread globally. Epidemiological susceptibility to COVID-19 has been reported in patients with cancer. We aimed to systematically characterise clinical features and determine risk factors of COVID-19 disease severity for patients with cancer and COVID-19. METHODS: In this multicentre, retrospective, cohort study, we included all adult patients (aged ??8 years) with any type of malignant solid tumours and haematological malignancy who were admitted to nine hospitals in Wuhan, China, with laboratory-confirmed COVID-19 between Jan 13 and March 18, 2020. Enrolled patients were statistically matched (2:1) with patients admitted with COVID-19 who did not have cancer with propensity score on the basis of age, sex, and comorbidities. Demographic characteristics, laboratory examinations, illness severity, and clinical interventions were compared between patients with COVID-19 with or without cancer as well as between patients with cancer with non-severe or severe COVID-19. COVID-19 disease severity was defined on admission on the basis of the WHO guidelines. Univariable and multivariable logistic regression, adjusted for age, sex, comorbidities, cancer type, tumour stage, and antitumour treatments, were used to explore risk factors associated with COVID-19 disease severity. This study was registered in the Chinese Clinical Trial Register, ChiCTR2000030807. FINDINGS: Between Jan 13 and March 18, 2020, 13 077 patients with COVID-19 were admitted to the nine hospitals in Wuhan and 232 patients with cancer and 519 statistically matched patients without cancer were enrolled. Median follow-up was 29 days (IQR 22??8) in patients with cancer and 27 days (20??5) in patients without cancer. Patients with cancer were more likely to have severe COVID-19 than patients without cancer (148 [64%] of 232 vs 166 [32%] of 519; odds ratio [OR] 3?61 [95% CI 2?59???04]; p<0?0001). Risk factors previously reported in patients without cancer, such as older age; elevated interleukin 6, procalcitonin, and D-dimer; and reduced lymphocytes were validated in patients with cancer. We also identified advanced tumour stage (OR 2?60, 95% CI 1?05???43; p=0?039), elevated tumour necrosis factor ? (1?22, 1?01???47; p=0?037), elevated N-terminal pro-B-type natriuretic peptide (1?65, 1?03???78; p=0?032), reduced CD4+ T cells (0?84, 0?71???98; p=0?031), and reduced albumin??lobulin ratio (0?12, 0?02???77; p=0?024) as risk factors of COVID-19 severity in patients with cancer. INTERPRETATION: Patients with cancer and COVID-19 were more likely to deteriorate into severe illness than those without cancer. The risk factors identified here could be helpful for early clinical surveillance of disease progression in patients with cancer who present with COVID-19. FUNDING: China National Natural Science Foundation.",pgna92tn
Effect of Cancer on Clinical Outcomes of Patients With COVID-19: A Meta-Analysis of Patient Data,cancer,"PURPOSE: Whether cancer is associated with worse prognosis among patients with COVID-19 is unknown. We aimed to quantify the effect (if any) of the presence as opposed to absence of cancer on important clinical outcomes of patients with COVID-19 by carrying out a systematic review and meta-analysis. METHODS: We systematically searched PubMed, medRxiv, COVID-19 Open Research Dataset (CORD-19), and references of relevant articles up to April 27, 2020, to identify observational studies comparing patients with versus without cancer infected with COVID-19 and to report on mortality and/or need for admission to the intensive care unit (ICU). We calculated pooled risk ratios (RR) and 95% CIs with a random-effects model. The meta-analysis was registered with PROSPERO (CRD42020181531). RESULTS: A total of 32 studies involving 46,499 patients (1,776 patients with cancer) with COVID-19 from Asia, Europe, and the United States were included. All-cause mortality was higher in patients with versus those without cancer (2,034 deaths; RR, 1.66; 95% CI, 1.33 to 2.07; P < .0001; 8 studies with 37,807 patients). The need for ICU admission was also more likely in patients with versus without cancer (3,220 events; RR, 1.56; 95% CI, 1.31 to 1.87; P < .0001; 26 studies with 15,375 patients). However, in a prespecified subgroup analysis of patients > 65 years of age, all-cause mortality was comparable between those with versus without cancer (915 deaths; RR, 1.06; 95% CI, 0.79 to 1.41; P = .71; 8 studies with 5,438 patients). CONCLUSION: The synthesized evidence suggests that cancer is associated with worse clinical outcomes among patients with COVID-19. However, elderly patients with cancer may not be at increased risk of death when infected with COVID-19. These findings may inform discussions of clinicians with patients about prognosis and may guide health policies.",ezrrcsf3
Haematological Cancers and the risk of severe COVID??9: Exploration and critical evaluation of the evidence to date,cancer,"From the outset of the COVID??9 pandemic, patients and health care professionals have been concerned that a history of haematological malignancy will lead to an increased risk of severe COVID??9. This led to the UK government advising patients with blood cancers to shield, massive re??rganisation of NHS haematology and cancer services, and changes in treatment plans for thousands of patients. Given the unknown effects that relaxation of social distancing measures will have on the infection rate, we review the evidence to date to see whether a history of haematological malignancy is associated with increased risk of COVID??9. Multivariable analysis of large population studies, taking other known risk factors into account do indicate that patients with haematological malignancy, especially those diagnosed recently are at increased risk of death with COVID??9 compared to the general population. The evidence that this risk is higher than for those with solid malignancies is conflicting. There is suggestive evidence from smaller cohort studies that those with myeloid malignancy may be at increased risk within the blood cancer population, but this needs to be confirmed on larger studies. Ongoing large collaborative efforts are required to gain further evidence regarding specific risk factors for severe complications of COVID??9.",mkabcvkw
Impact of COVID -19 in cancer patients on severity of disease and fatal outcomes: A systematic review and meta-analysis.,cancer,"BACKGROUND AND AIMSBACKGROUND Currently there is limited knowledge on cancer and COVID-19; we conducted a systematic review and meta-analysis to evaluate the impact of cancer on serious events including ICU admission rate and mortality in COVID 19. METHODS PubMed, Cochrane Central Register of Clinical Trials were searched on April 16, 2020, to extract published articles that reported the outcomes of cancer in COVID-19 patients. The search terms were ""coronavirus"" and ""clinical characteristics"" with no language or time restrictions. We identified 512 published results and 13 studies were included in the analysis. RESULTS There were 3775 patients, of whom 63 (1?66%) had a cancer. The pooled estimates of ICU admission in COVID 19 patients with and without cancer were 40% versus 8?42%.The odds ratio of ICU admission rates between the cancer and non-cancer groups was 2.88 with a 95% CI of 1?18 to 7?01 (p = 0?026). The pooled estimates of death rate in COVID -19 patients with and without cancer were 20?83% versus 7?82%. The odds ratio of death rates between the cancer and non-cancer groups was 2.25 with a 95% CI ranging from 0?71 to 7?10 with p value of 0?166. The pooled prevalence of cancer patients was 2% (95 CI 1-4). CONCLUSIONS Presence of cancer in COVID-19 leads to higher risk of developing serious events i.e. ICU admission, mechanical ventilation and mortality. The presence of cancer has a significant impact on mortality rate in COVID-19 patients.",7euep0gc
Impact of the COVID-19 Outbreak on the Management of Patients with Cancer,cancer,"The coronavirus SARS-CoV-2 (COVID-19) outbreak is having a profound impact on the management of patients with cancer. In this review, we comprehensively investigate the various aspects of cancer care during the pandemic, taking advantage of data generated in Asia and Europe at the frontline of the COVID-19 pandemic spread. Cancer wards have been subjected to several modifications to protect patients and healthcare professionals from COVID-19 infection, while attempting to maintain cancer diagnosis, therapy, and research. In this setting, the management of COVID-19 infected patients with cancer is particularly challenging. We also discuss the direct and potential remote impacts of the global pandemic on the mortality of patients with cancer. As such, the indirect impact of the pandemic on the global economy and the potential consequences in terms of cancer mortality are discussed. As the infection is spreading worldwide, we are obtaining more knowledge on the COVID-19 pandemic consequences that are currently impacting and may continue to further challenge cancer care in several countries.",6aq29ajy
