id,text
se5,"Report Date 27 April, 2003. Intercept of cell phone 804-774-8920. In a very brief call from this number to phone number 703-659-2317 on 26 April, 2003, the caller speaks in Arabic. A translation reads: ""We are now prepared to take the crescent to victory""."
se4,"Report Date 24 April, 2003. Phone calls on 22 April, 2003 from 703-659-2317 to the following numbers: 804-759-6302; 804-774-8920; 718-352-8479; and 01 1207670734. The same brief voice message was given in Arabic in each call. A translation of this message reads: ""I will be in my office on April 30 at 9:OOAM. Try to be on time""."
se3,"Report Date 21 April, 2003: Frequent recent phone calls from 703-659-2317 to the following numbers: 804-759-6302 [Richmond, VA., listed in the name Clark Webster]; 804-774-8920 [Charlottesville, VA, listed in the name Mukhtar Galab]; 718-352-8479 [Queens, NYC, listed in the name Bagwant Dhaliwal. Two overseas calls were made to 01 1207670734 [Amsterdam, The Netherlands, listed in the name Hans Pakes]."
se2,"Report Date 20 April, 2003: lntercept of phone calls made from 718-352-8479 at 2462 Myrtle Ave. Apt. 307, Queens. NYC revealed several calls to a phone 732-455-6392 in North Bergen, New Jersey. listed in the name of Hani al Hallak, who manages a carpet store. In the latest call, the caller from 2462 Myrtle Ave. Apt. 307, Queens, NYC announced that he would pick up the carpet he ordered on April 25, 2003."
se1,"Report Date 10 April, 2003. lntercept of a mobile phone message on 6 April, 2003 from 706-437-6673 to 713-556-9213. The first number was traced to a resident of Columbus, Georgia whose address is: 2237 St. Mary's Road. The resident at this address, Ralph Goode, claims that his mobile phone was recently stolen from his car, a matter he says he reported on 30 March, 2003 to the Columbus police. The Columbus police verified this account. The second number was traced to 2339 Little York Rd., Apt 7 in Houston, Texas. The caller from 706-437-6673, speaking in Arabic, said [when translated]: ""What you need will be found in the usual place"". The second number was listed by Sprint PCS as belonging to a Jamal Kalifa."
fbi9,"Report Date 16 April, 2003. FBI Special Report: In Seattle, Washington on 15 April, 2003 a US Post Office on Howell St. reported that six identical packages, each marked ""Home Made Candies"", were sent to state government officials in Seattle. Each one had the return address: 1635 Alder St, Seattle, Washington. A check by an alert postal employee revealed that there is no such address in Seattle. This employee also stated that she believed the sender was a Middle Eastern man who paid in cash for the postage. The packages were given to the Seattle police who treated them as if they might be package bombs, which indeed they were. They were set off in a vacant field managed by the police for such purposes."
fbi8,"Report Date 15 April, 2003. FBI from INS: Two men were arrested on 14 April, 2003 at Bush Intercontinental Airport in Houston, Texas. They are identified as Jamal Kalifa and Abul Hassan Salman. They both attempted to purchase airline tickets using Dutch passports that are believed to have been forged in Paris, France. The tickets they attempted to purchase were on Continental Airlines flight #458 from Bush Intercontinental in Houston to Reagan National Airport in Washington, DC."
fbi7,"Report Date 15 April, 2003. FBI: The Powhatan Company is a manufacturer of military explosives of various types, including C-4. It is located just outside of Keswick. Virginia. On 11 April, 2003 this company reported that 200 pounds of C-4 could not be accounted for during a recent inventory."
fbi6,"Report Date 15 April, 2003. FBI Special report: Dr. Clark Adams, a Middle Eastern expert whose office is at the Pentagon, was last seen on 13 April, 2003 after he left his home at 1830hrs for the Home Depot store on Lee Highway in Merrifield, VA. Dr. Adams's family could give no explanation for his disappearance. The FBI is treating his disappearance as a possible case of abduction."
fbi5,"Report Date 13 April, 2003. FBI from Border Patrol in El Paso, Texas: Border patrol agents in Hudspeth County, Texas reported that on the night of 10 April, 2003, they apprehended two men, whom they first believed to be Mexicans, crossing the Rio Grande river near McNary, Texas. As they were being interrogated at the McNary police station, it was discovered that each man carried $20,000 in cash. The two men, when interrogated, spoke no Spanish but had Texas drivers' licenses made out in the names Vincent Cortez and Arnaldo Gueterrez. The address given on both licenses was: 1212 McRae Blvd, El Paso, Texas. They also had one-way tickets on an American Airlines flight from El Paso to Houston. Texas, scheduled to leave El Paso on 16 April, 2003. An investigation made of the residence at 1212 McRae Blvd. in El Paso revealed that it was occupied by two men named Ben Hassine and Ahmed Yassin, both of whom claim to be students at the University of Texas at El Paso."
