Conference	Year	Title                                                                                                                           	DOI                      	Link                                       	FirstPage	LastPage	PaperType	Abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	AuthorNames-Deduped                                                                                                                                                                                                       	AuthorNames                                                                                                                                                                                                               	AuthorAffiliation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	InternalReferences                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	AuthorKeywords                                                                                                                                                                      	AminerCitationCount_02-2020	AminerCitationCount_06-2020	XploreCitationCount - 2020-01	PubsCited	Award
SciVis    	2012	A Data-Driven Approach to Hue-Preserving Color-Blending                                                                         	10.1109/TVCG.2012.186    	http://dx.doi.org/10.1109/TVCG.2012.186    	2122     	2129    	J        	Color mapping and semitransparent layering play an important role in many visualization scenarios, such as information visualization and volume rendering. The combination of color and transparency is still dominated by standard alpha-compositing using the Porter-Duff over operator which can result in false colors with deceiving impact on the visualization. Other more advanced methods have also been proposed, but the problem is still far from being solved. Here we present an alternative to these existing methods specifically devised to avoid false colors and preserve visual depth ordering. Our approach is data driven and follows the recently formulated knowledge-assisted visualization (KAV) paradigm. Preference data, that have been gathered in web-based user surveys, are used to train a support-vector machine model for automatically predicting an optimized hue-preserving blending. We have applied the resulting model to both volume rendering and a specific information visualization technique, illustrative parallel coordinate plots. Comparative renderings show a significant improvement over previous approaches in the sense that false colors are completely removed and important properties such as depth ordering and blending vividness are better preserved. Due to the generality of the defined data-driven blending operator, it can be easily integrated also into other visualization frameworks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Lars Kuehne;Joachim Giesen;Zhiyuan Zhang;Sungsoo Ha;Klaus Mueller                                                                                                                                                         	Lars Kühne;Joachim Giesen;Zhiyuan Zhang;Sungsoo Ha;Klaus Mueller                                                                                                                                                          	Friedrich-Schiller-Universität Jena;Friedrich-Schiller-Universität Jena;Stony Brook University;Stony Brook University;Stony Brook University                                                                                                                                                                                                                                                                                                                                                                              	10.1109/TVCG.2009.150;10.1109/TVCG.2008.118;10.1109/TVCG.2007.70623;10.1109/TVCG.2012.234;10.1109/VISUAL.2003.1250362                                                                                                                                                                                                                                                                                                                                                                                                  	Color blending, hue preservation, knowledge-assisted visualization, volume rendering, parallel coordinates                                                                          	7                          	0                          	10                           	24
SciVis    	2012	A Novel Approach to Visualizing Dark Matter Simulations                                                                         	10.1109/TVCG.2012.187    	http://dx.doi.org/10.1109/TVCG.2012.187    	2078     	2087    	J        	In the last decades cosmological N-body dark matter simulations have enabled ab initio studies of the formation of structure in the Universe. Gravity amplified small density fluctuations generated shortly after the Big Bang, leading to the formation of galaxies in the cosmic web. These calculations have led to a growing demand for methods to analyze time-dependent particle based simulations. Rendering methods for such N-body simulation data usually employ some kind of splatting approach via point based rendering primitives and approximate the spatial distributions of physical quantities using kernel interpolation techniques, common in SPH (Smoothed Particle Hydrodynamics)-codes. This paper proposes three GPU-assisted rendering approaches, based on a new, more accurate method to compute the physical densities of dark matter simulation data. It uses full phase-space information to generate a tetrahedral tessellation of the computational domain, with mesh vertices defined by the simulation's dark matter particle positions. Over time the mesh is deformed by gravitational forces, causing the tetrahedral cells to warp and overlap. The new methods are well suited to visualize the cosmic web. In particular they preserve caustics, regions of high density that emerge, when several streams of dark matter particles share the same location in space, indicating the formation of structures like sheets, filaments and halos. We demonstrate the superior image quality of the new approaches in a comparison with three standard rendering techniques for N-body simulation data.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Ralf Kähler;Oliver Hahn;Tom Abel                                                                                                                                                                                          	Ralf Kaehler;Oliver Hahn;Tom Abel                                                                                                                                                                                         	KIPAC;KIPAC;KIPAC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	10.1109/TVCG.2010.148;10.1109/VISUAL.2003.1250390;10.1109/VISUAL.2004.85;10.1109/TVCG.2006.154;10.1109/VISUAL.2003.1250404;10.1109/TVCG.2011.216;10.1109/TVCG.2009.142;10.1109/VISUAL.2001.964512;10.1109/VISUAL.2003.1250404                                                                                                                                                                                                                                                                                          	Astrophysics, dark matter, n-body simulations, tetrahedral grids                                                                                                                    	19                         	20                         	15                           	35
SciVis    	2012	A Perceptual-Statistics Shading Model                                                                                           	10.1109/TVCG.2012.188    	http://dx.doi.org/10.1109/TVCG.2012.188    	2265     	2274    	J        	The process of surface perception is complex and based on several influencing factors, e.g., shading, silhouettes, occluding contours, and top down cognition. The accuracy of surface perception can be measured and the influencing factors can be modified in order to decrease the error in perception. This paper presents a novel concept of how a perceptual evaluation of a visualization technique can contribute to its redesign with the aim of improving the match between the distal and the proximal stimulus. During analysis of data from previous perceptual studies, we observed that the slant of 3D surfaces visualized on 2D screens is systematically underestimated. The visible trends in the error allowed us to create a statistical model of the perceived surface slant. Based on this statistical model we obtained from user experiments, we derived a new shading model that uses adjusted surface normals and aims to reduce the error in slant perception. The result is a shape-enhancement of visualization which is driven by an experimentally-founded statistical model. To assess the efficiency of the statistical shading model, we repeated the evaluation experiment and confirmed that the error in perception was decreased. Results of both user experiments are publicly-available datasets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	Veronika Soltészová;Cagatay Turkay;Mark C. Price;Ivan Viola                                                                                                                                                               	Veronika Šoltészová;Cagatay Turkay;Mark C. Price;Ivan Viola                                                                                                                                                               	Department of Informatics, University of Bergen;Department of Informatics, University of Bergen;Faculty of Psychology, University of Bergen;Department of Informatics, University of Bergen and Christian Michelsen Research, Norway                                                                                                                                                                                                                                                                                      	10.1109/TVCG.2011.161                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  	Shading, perception, evaluation, surface slant, statistical analysis                                                                                                                	9                          	8                          	8                            	40
InfoVis   	2012	A User Study on Curved Edges in Graph Visualization                                                                             	10.1109/TVCG.2012.189    	http://dx.doi.org/10.1109/TVCG.2012.189    	2449     	2456    	J        	Recently there has been increasing research interest in displaying graphs with curved edges to produce more readable visualizations. While there are several automatic techniques, little has been done to evaluate their effectiveness empirically. In this paper we present two experiments studying the impact of edge curvature on graph readability. The goal is to understand the advantages and disadvantages of using curved edges for common graph tasks compared to straight line segments, which are the conventional choice for showing edges in node-link diagrams. We included several edge variations: straight edges, edges with different curvature levels, and mixed straight and curved edges. During the experiments, participants were asked to complete network tasks including determination of connectivity, shortest path, node degree, and common neighbors. We also asked the participants to provide subjective ratings of the aesthetics of different edge types. The results show significant performance differences between the straight and curved edges and clear distinctions between variations of curved edges.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	Kai Xu 0003;Chris Rooney;Peter J. Passmore;Dong-Han Ham;Phong H. Nguyen                                                                                                                                                   	Kai Xu;Chris Rooney;Peter Passmore;Dong-Han Ham;Phong H. Nguyen                                                                                                                                                           	Middlesex University;Middlesex University;Middlesex University;Chonnam National University;Middlesex University                                                                                                                                                                                                                                                                                                                                                                                                           	10.1109/TVCG.2011.233;10.1109/INFVIS.2002.1173155;10.1109/TVCG.2006.147;10.1109/INFVIS.2005.1532136;10.1109/INFVIS.2005.1532131;10.1109/INFVIS.2003.1249008;10.1109/TVCG.2006.166                                                                                                                                                                                                                                                                                                                                      	Graph, visualization, curved edges, evaluation                                                                                                                                      	33                         	0                          	28                           	35
SciVis    	2012	A Visual Analysis Concept for the Validation of Geoscientific Simulation Models                                                 	10.1109/TVCG.2012.190    	http://dx.doi.org/10.1109/TVCG.2012.190    	2216     	2225    	J        	Geoscientific modeling and simulation helps to improve our understanding of the complex Earth system. During the modeling process, validation of the geoscientific model is an essential step. In validation, it is determined whether the model output shows sufficient agreement with observation data. Measures for this agreement are called goodness of fit. In the geosciences, analyzing the goodness of fit is challenging due to its manifold dependencies: 1) The goodness of fit depends on the model parameterization, whose precise values are not known. 2) The goodness of fit varies in space and time due to the spatio-temporal dimension of geoscientific models. 3) The significance of the goodness of fit is affected by resolution and preciseness of available observational data. 4) The correlation between goodness of fit and underlying modeled and observed values is ambiguous. In this paper, we introduce a visual analysis concept that targets these challenges in the validation of geoscientific models - specifically focusing on applications where observation data is sparse, unevenly distributed in space and time, and imprecise, which hinders a rigorous analytical approach. Our concept, developed in close cooperation with Earth system modelers, addresses the four challenges by four tailored visualization components. The tight linking of these components supports a twofold interactive drill-down in model parameter space and in the set of data samples, which facilitates the exploration of the numerous dependencies of the goodness of fit. We exemplify our visualization concept for geoscientific modeling of glacial isostatic adjustments in the last 100,000 years, validated against sea levels indicators - a prominent example for sparse and imprecise observation data. An initial use case and feedback from Earth system modelers indicate that our visualization concept is a valuable complement to the range of validation methods.                                                                                              	Andrea Unger;Sven Schulte;Volker Klemann;Doris Dransch                                                                                                                                                                    	Andrea Unger;Sven Schulte;Volker Klemann;Doris Dransch                                                                                                                                                                    	GFZ German Reserach Center For Geosciences, Potsdam, Germany;Magdeburg-Stendal University of Applied Sciences, Germany;National Oceanography Centre, Liverpool, UK;GFZ German Reserach Center For Geosciences, Potsdam, Germany                                                                                                                                                                                                                                                                                           	10.1109/TVCG.2010.192;10.1109/VAST.2010.5652895;10.1109/TVCG.2011.248;10.1109/TVCG.2008.145;10.1109/TVCG.2011.225;10.1109/TVCG.2010.223;10.1109/TVCG.2010.171;10.1109/TVCG.2010.190;10.1109/VISUAL.1993.398859;10.1109/TVCG.2010.181;10.1109/TVCG.2008.139                                                                                                                                                                                                                                                             	Earth science visualization, model validation, coordinated multiple views, spatio-temporal visualization, sea level indicators                                                      	11                         	13                         	16                           	41
VAST      	2012	A Visual Analytics Approach to Multiscale Exploration of Environmental Time Series                                              	10.1109/TVCG.2012.191    	http://dx.doi.org/10.1109/TVCG.2012.191    	2899     	2907    	J        	We present a Visual Analytics approach that addresses the detection of interesting patterns in numerical time series, specifically from environmental sciences. Crucial for the detection of interesting temporal patterns are the time scale and the starting points one is looking at. Our approach makes no assumption about time scale and starting position of temporal patterns and consists of three main steps: an algorithm to compute statistical values for all possible time scales and starting positions of intervals, visual identification of potentially interesting patterns in a matrix visualization, and interactive exploration of detected patterns. We demonstrate the utility of this approach in two scientific scenarios and explain how it allowed scientists to gain new insight into the dynamics of environmental systems.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	Mike Sips;Patrick Köthur;Andrea Unger;Hans-Christian Hege;Doris Dransch                                                                                                                                                   	Mike Sips;Patrick Köthur;Andrea Unger;Hans-Christian Hege;Doris Dransch                                                                                                                                                   	German Research Center for GeoSciences GFZ;German Research Center for GeoSciences GFZ;German Research Center for GeoSciences GFZ;Zuse Institute Berlin;German Research Center for GeoSciences GFZ                                                                                                                                                                                                                                                                                                                         	10.1109/INFVIS.2001.963273;10.1109/INFVIS.1995.528685                                                                                                                                                                                                                                                                                                                                                                                                                                                                  	Time series analysis, multiscale visualization, visual analytics                                                                                                                    	20                         	27                         	24                           	35
InfoVis   	2012	Adaptive Composite Map Projections                                                                                              	10.1109/TVCG.2012.192    	http://dx.doi.org/10.1109/TVCG.2012.192    	2575     	2582    	J        	All major web mapping services use the web Mercator projection. This is a poor choice for maps of the entire globe or areas of the size of continents or larger countries because the Mercator projection shows medium and higher latitudes with extreme areal distortion and provides an erroneous impression of distances and relative areas. The web Mercator projection is also not able to show the entire globe, as polar latitudes cannot be mapped. When selecting an alternative projection for information visualization, rivaling factors have to be taken into account, such as map scale, the geographic area shown, the map's height-to-width ratio, and the type of cartographic visualization. It is impossible for a single map projection to meet the requirements for all these factors. The proposed composite map projection combines several projections that are recommended in cartographic literature and seamlessly morphs map space as the user changes map scale or the geographic region displayed. The composite projection adapts the map's geometry to scale, to the map's height-to-width ratio, and to the central latitude of the displayed area by replacing projections and adjusting their parameters. The composite projection shows the entire globe including poles; it portrays continents or larger countries with less distortion (optionally without areal distortion); and it can morph to the web Mercator projection for maps showing small regions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	Bernhard Jenny                                                                                                                                                                                                            	Bernhard Jenny                                                                                                                                                                                                            	Oregon State University                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	10.1109/TVCG.2011.191;10.1109/TVCG.2010.191;10.1109/INFVIS.2000.885095                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Multi-scale map, web mapping, web cartography, web map projection, web Mercator, HTML5 Canvas                                                                                       	33                         	36                         	26                           	38
InfoVis   	2012	Algorithms for Labeling Focus Regions                                                                                           	10.1109/TVCG.2012.193    	http://dx.doi.org/10.1109/TVCG.2012.193    	2583     	2592    	J        	In this paper, we investigate the problem of labeling point sites in focus regions of maps or diagrams. This problem occurs, for example, when the user of a mapping service wants to see the names of restaurants or other POIs in a crowded downtown area but keep the overview over a larger area. Our approach is to place the labels at the boundary of the focus region and connect each site with its label by a linear connection, which is called a leader. In this way, we move labels from the focus region to the less valuable context region surrounding it. In order to make the leader layout well readable, we present algorithms that rule out crossings between leaders and optimize other characteristics such as total leader length and distance between labels. This yields a new variant of the boundary labeling problem, which has been studied in the literature. Other than in traditional boundary labeling, where leaders are usually schematized polylines, we focus on leaders that are either straight-line segments or Bezier curves. Further, we present algorithms that, given the sites, find a position of the focus region that optimizes the above characteristics. We also consider a variant of the problem where we have more sites than space for labels. In this situation, we assume that the sites are prioritized by the user. Alternatively, we take a new facility-location perspective which yields a clustering of the sites. We label one representative of each cluster. If the user wishes, we apply our approach to the sites within a cluster, giving details on demand.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Martin Fink 0001;Jan-Henrik Haunert;André Schulz 0001;Joachim Spoerhase;Alexander Wolff 0001                                                                                                                              	Martin Fink;Jan-Henrik Haunert;André Schulz;Joachim Spoerhase;Alexander Wolff                                                                                                                                             	Universität Würzburg;Universität Würzburg;Universität Münster;Universität Würzburg;Universität Würzburg                                                                                                                                                                                                                                                                                                                                                                                                                   	10.1109/TVCG.2011.191;10.1109/TVCG.2010.180;10.1109/TVCG.2011.183;10.1109/INFVIS.2000.885087                                                                                                                                                                                                                                                                                                                                                                                                                           	Focus+context techniques, data clustering, mobile and ubiquitous visualization, geographic/geospatial visualization                                                                 	21                         	29                         	24                           	28
SciVis    	2012	An Adaptive Prediction-Based Approach to Lossless Compression of Floating-Point Volume Data                                     	10.1109/TVCG.2012.194    	http://dx.doi.org/10.1109/TVCG.2012.194    	2295     	2304    	J        	In this work, we address the problem of lossless compression of scientific and medical floating-point volume data. We propose two prediction-based compression methods that share a common framework, which consists of a switched prediction scheme wherein the best predictor out of a preset group of linear predictors is selected. Such a scheme is able to adapt to different datasets as well as to varying statistics within the data. The first method, called APE (Adaptive Polynomial Encoder), uses a family of structured interpolating polynomials for prediction, while the second method, which we refer to as ACE (Adaptive Combined Encoder), combines predictors from previous work with the polynomial predictors to yield a more flexible, powerful encoder that is able to effectively decorrelate a wide range of data. In addition, in order to facilitate efficient visualization of compressed data, our scheme provides an option to partition floating-point values in such a way as to provide a progressive representation. We compare our two compressors to existing state-of-the-art lossless floating-point compressors for scientific data, with our data suite including both computer simulations and observational measurements. The results demonstrate that our polynomial predictor, APE, is comparable to previous approaches in terms of speed but achieves better compression rates on average. ACE, our combined predictor, while somewhat slower, is able to achieve the best compression rate on all datasets, with significantly better rates on most of the datasets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	Nathaniel Fout;Kwan-Liu Ma                                                                                                                                                                                                	Nathaniel Fout;Kwan-Liu Ma                                                                                                                                                                                                	University of California, Davis;University of California, Davis                                                                                                                                                                                                                                                                                                                                                                                                                                                           	10.1109/VISUAL.1996.568138;10.1109/TVCG.2006.143;10.1109/VISUAL.1994.346332                                                                                                                                                                                                                                                                                                                                                                                                                                            	Volume compression, lossless compression, floating-point compression                                                                                                                	30                         	0                          	25                           	34
VAST      	2012	An Affordance-Based Framework for Human Computation and Human-Computer Collaboration                                            	10.1109/TVCG.2012.195    	http://dx.doi.org/10.1109/TVCG.2012.195    	2859     	2868    	J        	Visual Analytics is “the science of analytical reasoning facilitated by visual interactive interfaces” [70]. The goal of this field is to develop tools and methodologies for approaching problems whose size and complexity render them intractable without the close coupling of both human and machine analysis. Researchers have explored this coupling in many venues: VAST, Vis, InfoVis, CHI, KDD, IUI, and more. While there have been myriad promising examples of human-computer collaboration, there exists no common language for comparing systems or describing the benefits afforded by designing for such collaboration. We argue that this area would benefit significantly from consensus about the design attributes that define and distinguish existing techniques. In this work, we have reviewed 1,271 papers from many of the top-ranking conferences in visual analytics, human-computer interaction, and visualization. From these, we have identified 49 papers that are representative of the study of human-computer collaborative problem-solving, and provide a thorough overview of the current state-of-the-art. Our analysis has uncovered key patterns of design hinging on humanand machine-intelligence affordances, and also indicates unexplored avenues in the study of this area. The results of this analysis provide a common framework for understanding these seemingly disparate branches of inquiry, which we hope will motivate future work in the field.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	R. Jordan Crouser;Remco Chang                                                                                                                                                                                             	R. Jordon Crouser;Remco Chang                                                                                                                                                                                             	Tufts University;Tufts University                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	10.1109/VAST.2010.5652398;10.1109/VAST.2011.6102461;10.1109/TVCG.2009.199;10.1109/VAST.2010.5652910;10.1109/VAST.2010.5652484;10.1109/VAST.2009.5332584;10.1109/VAST.2010.5652885;10.1109/VAST.2009.5333564;10.1109/VAST.2010.5652392;10.1109/VAST.2009.5332586;10.1109/VAST.2011.6102451;10.1109/VAST.2009.5333023;10.1109/VAST.2009.5333020;10.1109/VAST.2009.5332628;10.1109/TVCG.2011.173;10.1109/TVCG.2011.218;10.1109/TVCG.2011.231;10.1109/VAST.2010.5652443;10.1109/VAST.2010.5653598;10.1109/VAST.2011.6102447	Human computation, human complexity, theory, framework                                                                                                                              	21                         	29                         	22                           	83
